Model,Accuracy
XGBoost,82.12824010914052
NeuralNetwork_MLP,81.9918144611187
RandomForest,80.76398362892225
KNN,75.30695770804911
DecisionTree,72.8512960436562
SVM,68.89495225102318
LogisticRegression,68.07639836289222
AdaBoost,60.30013642564802
